manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,,,,,,,,Annual Emission,Daily Emissions
Apple,Apple TV 4K (3rd generation) with 64GB,Home,Entertainment,43,0.37,,3.5,WW,October 18 2022,https://www.apple.com/environment/pdf/products/appletv/Apple_TV_4K_PER_Oct2022.pdf,3389fcd1d148d0d15754d768a6c69158,,0.62,,,,,64GB SSD,,,,18-10-2022,Apple Auto Parser,0.01,0.01,,,,,,Apple TV 4K (3rd generation) with Siri Remote 64GB (43kgCO2eq) - Apple TV 4K (3rd generation) with Siri Remote 128GB (46kgCO2eq) -,12.28571429,0.033659491
Apple,Apple Watch SE 44mm Aluminum Case with Sport Band,Home,IoT,31,0.09,,3.5,WW,September 7 2022,https://www.apple.com/environment/pdf/products/watch/Apple_Watch_SE_PER_Dec2022.pdf,7a5345decd9c1fa8d697b3833966d1ce,,0.79,,,,,,,,,23-02-2023,Apple Auto Parser,0.11,0.01,,,,,,,8.857142857,0.024266145
Apple,Apple Watch SE 44mm Aluminum Case with Sport Band,Home,IoT,31,0.09,,3.5,WW,September 7 2022,https://www.apple.com/environment/pdf/products/watch/Apple_Watch_SE_PER_Sept2022.pdf,b3240db9d722e81c5b402ac915e49eb2,,0.79,,,,,,,,,18-10-2022,Apple Auto Parser,0.11,0.01,,,,,,,8.857142857,0.024266145
Apple,Apple Watch Series 8 45mm Aluminum Case with Sport Band,Home,IoT,33,0.16,,3.5,WW,September 7 2022,https://www.apple.com/environment/pdf/products/watch/Apple_Watch_Series8_PER_Dec2022.pdf,93a00fe511448ae751ea048702f6d1a5,,0.74,,,,,,,,,23-02-2023,Apple Auto Parser,0.09,0.01,,,,,,,9.428571429,0.025831703
Apple,Apple Watch Series 8 45mm Aluminum Case with Sport Band,Home,IoT,33,0.16,,3.5,WW,September 7 2022,https://www.apple.com/environment/pdf/products/watch/Apple_Watch_Series8_PER_Sept2022.pdf,f0a9499ab386d53975b21a7a6cec0095,,0.74,,,,,,,,,18-10-2022,Apple Auto Parser,0.09,0.01,,,,,,,9.428571429,0.025831703
Apple,Apple Watch Ultra (GPS + Cellular) Titanium Case with Ocean Band,Home,IoT,56,0.11,,3.5,WW,September 7 2022,https://www.apple.com/environment/pdf/products/watch/Apple_Watch_Ultra_PER_Dec2022.pdf,dce9ed10ba797f731aa0c68a628a29cd,,0.77,,,,,,,,,23-02-2023,Apple Auto Parser,0.11,0.01,,,,,,,16,0.043835616
Apple,Apple Watch Ultra (GPS + Cellular) Titanium Case with Ocean Band,Home,IoT,56,0.11,,3.5,WW,September 7 2022,https://www.apple.com/environment/pdf/products/watch/Apple_Watch_Ultra_PER_Sept2022.pdf,40b789225ec83fefad762d3ca82c3447,,0.77,,,,,,,,,18-10-2022,Apple Auto Parser,0.11,0.01,,,,,,,16,0.043835616
Apple,HomePod (2nd generation),Home,IoT,92,0.34,,3.5,WW,January 18 2023,https://www.apple.com/environment/pdf/products/homepod/HomePod_PER_Jan2023.pdf,a7addca34f708b434e3ae74f774f29c8,,0.64,,,,,,,,,23-02-2023,Apple Auto Parser,0.01,0.01,,,,,,,26.28571429,0.072015656
Apple,HomePod mini,Home,IoT,42,0.37,,3.5,WW,October 13 2020,https://www.apple.com/environment/pdf/products/homepod/HomePod_mini_PER_Oct2020.pdf,b6b722c4a3663eac72c5ff390da218b5,,0.5,,,,,,,,,18-10-2022,Apple Auto Parser,0.12,0.01,,,,,,,12,0.032876712
Apple,HomePod,Home,IoT,146,0.41,,4,WW,January 26 2018,https://www.apple.com/environment/pdf/products/homepod/HomePod_PER_feb2018.pdf,be7878c7b7f475c475e1e75076e8b6fb,,0.42,,,,,,,,,18-10-2022,Apple Auto Parser,0.14,0.03,,,,,,,36.5,0.1
